Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
azerbaijan,rent per month,apartment (1 bedroom) in city centre,388.07 €,243.24-810.79,388.07,"(243.24, 810.79)",243.24,810.79
azerbaijan,rent per month,apartment (1 bedroom) outside of centre,222.45 €,135.13-351.34,222.45,"(135.13, 351.34)",135.13,351.34
azerbaijan,rent per month,apartment (3 bedrooms) in city centre,780.30 €,"378.37-1,513.48",780.3,"(378.37, 1.513)",378.37,1.513
azerbaijan,rent per month,apartment (3 bedrooms) outside of centre,384.06 €,270.26-702.69,384.06,"(270.26, 702.69)",270.26,702.69
azerbaijan,buy apartment price,price per square meter to buy apartment in city centre,"1,790.50 €","1,081.06-2,432.38",1.79,"(81.06, 2.432)",81.06,2.432
azerbaijan,buy apartment price,price per square meter to buy apartment outside of centre,909.58 €,"648.64-1,351.32",909.58,"(648.64, 1.351)",648.64,1.351
azerbaijan,salaries and financing,average monthly net salary (after tax),422.38 €,,422.38,,,
azerbaijan,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",9.02,7.00-14.00,9.02,"(7.0, 14.0)",7.0,14.0
bahamas,rent per month,apartment (1 bedroom) in city centre,"1,211.80 €","505.40-2,297.25",1.211,"(505.4, 2.297)",505.4,2.297
bahamas,rent per month,apartment (1 bedroom) outside of centre,"1,194.57 €","551.34-2,021.58",1.194,"(551.34, 2.021)",551.34,2.021
bahamas,rent per month,apartment (3 bedrooms) in city centre,"3,294.91 €","1,470.24-5,053.95",3.294,"(470.24, 5.053)",470.24,5.053
bahamas,rent per month,apartment (3 bedrooms) outside of centre,"3,124.26 €","2,297.25-4,135.05",3.124,"(297.25, 4.135)",297.25,4.135
bahamas,buy apartment price,price per square meter to buy apartment in city centre,"3,851.09 €","2,756.70-4,945.48",3.851,"(756.7, 4.945)",756.7,4.945
bahamas,buy apartment price,price per square meter to buy apartment outside of centre,"2,811.10 €","1,190.57-4,945.48",2.811,"(190.57, 4.945)",190.57,4.945
bahamas,salaries and financing,average monthly net salary (after tax),"1,876.78 €",,1.876,,,
bahamas,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",9.04,4.75-15.00,9.04,"(4.75, 15.0)",4.75,15.0
bahrain,rent per month,apartment (1 bedroom) in city centre,792.10 €,"486.85-1,217.12",792.1,"(486.85, 1.217)",486.85,1.217
bahrain,rent per month,apartment (1 bedroom) outside of centre,548.92 €,365.14-973.70,548.92,"(365.14, 973.7)",365.14,973.7
bahrain,rent per month,apartment (3 bedrooms) in city centre,"1,557.43 €","730.27-2,190.82",1.557,"(730.27, 2.19)",730.27,2.19
bahrain,rent per month,apartment (3 bedrooms) outside of centre,"1,000.29 €","608.56-1,703.97",1.0,"(608.56, 1.703)",608.56,1.703
