Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
liechtenstein,salaries and financing,average monthly net salary (after tax),"7,271.89 €",,7.271,,,
liechtenstein,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.49,4.10-8.10,6.49,"(4.1, 8.1)",4.1,8.1
lithuania,rent per month,apartment (1 bedroom) in city centre,616.52 €,400.00-800.00,616.52,"(400.0, 800.0)",400.0,800.0
lithuania,rent per month,apartment (1 bedroom) outside of centre,435.29 €,300.00-620.00,435.29,"(300.0, 620.0)",300.0,620.0
lithuania,rent per month,apartment (3 bedrooms) in city centre,"1,097.38 €","700.00-1,500.00",1.097,"(700.0, 1.5)",700.0,1.5
lithuania,rent per month,apartment (3 bedrooms) outside of centre,738.56 €,"500.00-1,100.00",738.56,"(500.0, 1.1)",500.0,1.1
lithuania,buy apartment price,price per square meter to buy apartment in city centre,"3,926.70 €","1,800.00-6,000.00",3.926,"(800.0, 6.0)",800.0,6.0
lithuania,buy apartment price,price per square meter to buy apartment outside of centre,"2,421.80 €","1,050.00-3,900.00",2.421,"(50.0, 3.9)",50.0,3.9
lithuania,salaries and financing,average monthly net salary (after tax),"1,302.41 €",,1.302,,,
lithuania,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.27,2.50-6.00,4.27,"(2.5, 6.0)",2.5,6.0
luxembourg,rent per month,apartment (1 bedroom) in city centre,"1,697.62 €","1,400.00-2,200.00",1.697,"(400.0, 2.2)",400.0,2.2
luxembourg,rent per month,apartment (1 bedroom) outside of centre,"1,437.50 €","1,200.00-1,800.00",1.437,"(200.0, 1.8)",200.0,1.8
luxembourg,rent per month,apartment (3 bedrooms) in city centre,"2,954.03 €","2,000.00-4,000.00",2.954,"(0.0, 4.0)",0.0,4.0
luxembourg,rent per month,apartment (3 bedrooms) outside of centre,"2,361.43 €","1,700.00-3,200.00",2.361,"(700.0, 3.2)",700.0,3.2
luxembourg,buy apartment price,price per square meter to buy apartment in city centre,"10,142.50 €","8,800.00-14,000.00",10.142,"(800.0, 14.0)",800.0,14.0
luxembourg,buy apartment price,price per square meter to buy apartment outside of centre,"7,620.31 €","6,000.00-10,000.00",7.62,"(0.0, 10.0)",0.0,10.0
luxembourg,salaries and financing,average monthly net salary (after tax),"5,533.57 €",,5.533,,,
luxembourg,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.19,1.52-4.40,3.19,"(1.52, 4.4)",1.52,4.4
macao (china),rent per month,apartment (1 bedroom) in city centre,"1,077.55 €","802.43-1,375.60",1.077,"(802.43, 1.375)",802.43,1.375
macao (china),rent per month,apartment (1 bedroom) outside of centre,851.56 €,"687.80-1,031.70",851.56,"(687.8, 1.031)",687.8,1.031
macao (china),rent per month,apartment (3 bedrooms) in city centre,"1,904.55 €","1,719.50-2,269.74",1.904,"(719.5, 2.269)",719.5,2.269
macao (china),rent per month,apartment (3 bedrooms) outside of centre,"1,541.18 €","1,260.96-2,292.66",1.541,"(260.96, 2.292)",260.96,2.292
macao (china),buy apartment price,price per square meter to buy apartment in city centre,"11,422.86 €","9,743.82-13,755.97",11.422,"(743.82, 13.755)",743.82,13.755
macao (china),buy apartment price,price per square meter to buy apartment outside of centre,"8,174.75 €","6,877.99-12,339.01",8.174,"(877.99, 12.339)",877.99,12.339
macao (china),salaries and financing,average monthly net salary (after tax),"1,905.20 €",,1.905,,,
macao (china),salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.21,1.80-4.50,3.21,"(1.8, 4.5)",1.8,4.5
madagascar,rent per month,apartment (1 bedroom) in city centre,280.45 €,98.40-511.70,280.45,"(98.4, 511.7)",98.4,511.7
madagascar,rent per month,apartment (1 bedroom) outside of centre,65.75 €,39.36-236.17,65.75,"(39.36, 236.17)",39.36,236.17
madagascar,rent per month,apartment (3 bedrooms) in city centre,360.82 €,196.81-984.04,360.82,"(196.81, 984.04)",196.81,984.04
madagascar,rent per month,apartment (3 bedrooms) outside of centre,229.61 €,118.09-885.64,229.61,"(118.09, 885.64)",118.09,885.64
madagascar,buy apartment price,price per square meter to buy apartment in city centre,583.86 €,354.26-806.91,583.86,"(354.26, 806.91)",354.26,806.91
madagascar,buy apartment price,price per square meter to buy apartment outside of centre,442.82 €,393.62-492.02,442.82,"(393.62, 492.02)",393.62,492.02
madagascar,salaries and financing,average monthly net salary (after tax),91.02 €,,91.02,,,
madagascar,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",17.25,7.00-24.00,17.25,"(7.0, 24.0)",7.0,24.0
malawi,rent per month,apartment (1 bedroom) in city centre,184.85 €,112.38-268.73,184.85,"(112.38, 268.73)",112.38,268.73
malawi,rent per month,apartment (1 bedroom) outside of centre,76.16 €,36.76-134.79,76.16,"(36.76, 134.79)",36.76,134.79
malawi,rent per month,apartment (3 bedrooms) in city centre,407.96 €,337.14-716.62,407.96,"(337.14, 716.62)",337.14,716.62
malawi,rent per month,apartment (3 bedrooms) outside of centre,322.64 €,163.67-472.42,322.64,"(163.67, 472.42)",163.67,472.42
malawi,buy apartment price,price per square meter to buy apartment in city centre,"9,686.89 €","4,537.34-14,836.44",9.686,"(537.34, 14.836)",537.34,14.836
malawi,buy apartment price,price per square meter to buy apartment outside of centre,454.45 €,364.41-544.48,454.45,"(364.41, 544.48)",364.41,544.48
malawi,salaries and financing,average monthly net salary (after tax),285.32 €,,285.32,,,
malaysia,rent per month,apartment (1 bedroom) in city centre,336.54 €,206.63-619.90,336.54,"(206.63, 619.9)",206.63,619.9
malaysia,rent per month,apartment (1 bedroom) outside of centre,230.75 €,123.98-413.27,230.75,"(123.98, 413.27)",123.98,413.27
malaysia,rent per month,apartment (3 bedrooms) in city centre,603.77 €,"309.95-1,033.17",603.77,"(309.95, 1.033)",309.95,1.033
malaysia,rent per month,apartment (3 bedrooms) outside of centre,397.13 €,247.96-723.22,397.13,"(247.96, 723.22)",247.96,723.22
malaysia,buy apartment price,price per square meter to buy apartment in city centre,"1,851.66 €","1,033.17-3,336.28",1.851,"(33.17, 3.336)",33.17,3.336
malaysia,buy apartment price,price per square meter to buy apartment outside of centre,"1,042.21 €","667.26-1,446.44",1.042,"(667.26, 1.446)",667.26,1.446
malaysia,salaries and financing,average monthly net salary (after tax),835.56 €,,835.56,,,
malaysia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.19,3.10-5.00,4.19,"(3.1, 5.0)",3.1,5.0
maldives,rent per month,apartment (1 bedroom) in city centre,882.86 €,"596.53-1,193.05",882.86,"(596.53, 1.193)",596.53,1.193
maldives,rent per month,apartment (1 bedroom) outside of centre,629.67 €,536.87-954.44,629.67,"(536.87, 954.44)",536.87,954.44
maldives,rent per month,apartment (3 bedrooms) in city centre,"1,511.20 €","1,193.05-2,266.80",1.511,"(193.05, 2.266)",193.05,2.266
maldives,rent per month,apartment (3 bedrooms) outside of centre,"1,252.70 €","1,073.75-1,789.58",1.252,"(73.75, 1.789)",73.75,1.789
maldives,buy apartment price,price per square meter to buy apartment in city centre,"2,711.58 €","1,605.24-4,945.48",2.711,"(605.24, 4.945)",605.24,4.945
maldives,buy apartment price,price per square meter to buy apartment outside of centre,991.01 €,"459.45-2,247.33",991.01,"(459.45, 2.247)",459.45,2.247
maldives,salaries and financing,average monthly net salary (after tax),943.15 €,,943.15,,,
maldives,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",12.40,8.00-15.00,12.4,"(8.0, 15.0)",8.0,15.0
mali,rent per month,apartment (1 bedroom) in city centre,137.84 €,,137.84,,,
mali,rent per month,apartment (1 bedroom) outside of centre,73.51 €,,73.51,,,
mali,rent per month,apartment (3 bedrooms) in city centre,372.64 €,285.82-459.45,372.64,"(285.82, 459.45)",285.82,459.45
mali,rent per month,apartment (3 bedrooms) outside of centre,275.67 €,,275.67,,,
mali,buy apartment price,price per square meter to buy apartment in city centre,"9,296.05 €",,9.296,,,
mali,buy apartment price,price per square meter to buy apartment outside of centre,768.63 €,"395.84-1,141.42",768.63,"(395.84, 1.141)",395.84,1.141
mali,salaries and financing,average monthly net salary (after tax),240.59 €,,240.59,,,
malta,rent per month,apartment (1 bedroom) in city centre,977.58 €,"750.00-1,300.00",977.58,"(750.0, 1.3)",750.0,1.3
malta,rent per month,apartment (1 bedroom) outside of centre,814.06 €,"650.00-1,000.00",814.06,"(650.0, 1.0)",650.0,1.0
malta,rent per month,apartment (3 bedrooms) in city centre,"1,652.72 €","1,200.00-2,900.00",1.652,"(200.0, 2.9)",200.0,2.9
malta,rent per month,apartment (3 bedrooms) outside of centre,"1,284.12 €","1,000.00-1,800.00",1.284,"(0.0, 1.8)",0.0,1.8
malta,buy apartment price,price per square meter to buy apartment in city centre,"3,581.48 €","2,300.00-5,200.00",3.581,"(300.0, 5.2)",300.0,5.2
malta,buy apartment price,price per square meter to buy apartment outside of centre,"2,815.32 €","1,847.00-4,500.00",2.815,"(847.0, 4.5)",847.0,4.5
malta,salaries and financing,average monthly net salary (after tax),"1,487.06 €",,1.487,,,
malta,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.67,3.00-5.43,4.67,"(3.0, 5.43)",3.0,5.43
marshall islands,rent per month,apartment (1 bedroom) in city centre,704.49 €,689.18-735.12,704.49,"(689.18, 735.12)",689.18,735.12
marshall islands,rent per month,apartment (1 bedroom) outside of centre,765.75 €,689.18-918.90,765.75,"(689.18, 918.9)",689.18,918.9
marshall islands,rent per month,apartment (3 bedrooms) in city centre,"1,271.14 €","1,102.68-1,378.35",1.271,"(102.68, 1.378)",102.68,1.378
marshall islands,rent per month,apartment (3 bedrooms) outside of centre,"1,301.78 €","1,102.68-1,654.02",1.301,"(102.68, 1.654)",102.68,1.654
marshall islands,salaries and financing,average monthly net salary (after tax),"1,378.35 €",,1.378,,,
martinique,rent per month,apartment (1 bedroom) in city centre,710.00 €,650.00-770.00,710.0,"(650.0, 770.0)",650.0,770.0
martinique,rent per month,apartment (1 bedroom) outside of centre,646.67 €,640.00-650.00,646.67,"(640.0, 650.0)",640.0,650.0
martinique,rent per month,apartment (3 bedrooms) in city centre,"1,120.00 €","1,000.00-1,240.00",1.12,"(0.0, 1.24)",0.0,1.24
martinique,rent per month,apartment (3 bedrooms) outside of centre,"1,225.00 €","800.00-1,650.00",1.225,"(800.0, 1.65)",800.0,1.65
martinique,buy apartment price,price per square meter to buy apartment in city centre,"2,052.00 €",,2.052,,,
martinique,buy apartment price,price per square meter to buy apartment outside of centre,"3,209.50 €","2,419.00-4,000.00",3.209,"(419.0, 4.0)",419.0,4.0
martinique,salaries and financing,average monthly net salary (after tax),"1,987.50 €",,1.987,,,
martinique,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",1.45,,1.45,,,
mauritania,rent per month,apartment (1 bedroom) in city centre,166.27 €,92.37-257.40,166.27,"(92.37, 257.4)",92.37,257.4
mauritania,rent per month,apartment (1 bedroom) outside of centre,127.01 €,92.37-180.18,127.01,"(92.37, 180.18)",92.37,180.18
mauritania,rent per month,apartment (3 bedrooms) in city centre,551.51 €,461.86-772.19,551.51,"(461.86, 772.19)",461.86,772.19
mauritania,rent per month,apartment (3 bedrooms) outside of centre,249.40 €,230.93-386.09,249.4,"(230.93, 386.09)",230.93,386.09
mauritania,buy apartment price,price per square meter to buy apartment in city centre,"3,130.76 €","257.40-6,004.13",3.13,"(257.4, 6.004)",257.4,6.004
mauritania,buy apartment price,price per square meter to buy apartment outside of centre,"1,056.06 €","167.31-2,771.14",1.056,"(167.31, 2.771)",167.31,2.771
mauritania,salaries and financing,average monthly net salary (after tax),696.74 €,,696.74,,,
mauritania,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",16.50,13.00-20.00,16.5,"(13.0, 20.0)",13.0,20.0
mauritius,rent per month,apartment (1 bedroom) in city centre,396.04 €,203.70-611.11,396.04,"(203.7, 611.11)",203.7,611.11
mauritius,rent per month,apartment (1 bedroom) outside of centre,286.23 €,162.96-509.26,286.23,"(162.96, 509.26)",162.96,509.26
mauritius,rent per month,apartment (3 bedrooms) in city centre,717.70 €,"500.00-1,120.36",717.7,"(500.0, 1.12)",500.0,1.12
mauritius,rent per month,apartment (3 bedrooms) outside of centre,567.05 €,"305.55-1,018.51",567.05,"(305.55, 1.018)",305.55,1.018
mauritius,buy apartment price,price per square meter to buy apartment in city centre,"2,797.73 €","1,099.99-5,092.55",2.797,"(99.99, 5.092)",99.99,5.092
mauritius,buy apartment price,price per square meter to buy apartment outside of centre,"2,187.70 €","769.56-3,055.53",2.187,"(769.56, 3.055)",769.56,3.055
mauritius,salaries and financing,average monthly net salary (after tax),631.41 €,,631.41,,,
mauritius,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.13,4.50-7.50,6.13,"(4.5, 7.5)",4.5,7.5
mexico,rent per month,apartment (1 bedroom) in city centre,572.49 €,"276.64-1,014.34",572.49,"(276.64, 1.014)",276.64,1.014
mexico,rent per month,apartment (1 bedroom) outside of centre,400.34 €,184.42-737.70,400.34,"(184.42, 737.7)",184.42,737.7
mexico,rent per month,apartment (3 bedrooms) in city centre,"1,089.82 €","576.33-2,074.78",1.089,"(576.33, 2.074)",576.33,2.074
mexico,rent per month,apartment (3 bedrooms) outside of centre,753.67 €,"414.96-1,567.61",753.67,"(414.96, 1.567)",414.96,1.567
mexico,buy apartment price,price per square meter to buy apartment in city centre,"1,770.28 €","646.18-3,457.96",1.77,"(646.18, 3.457)",646.18,3.457
mexico,buy apartment price,price per square meter to buy apartment outside of centre,"1,199.20 €","553.27-2,489.73",1.199,"(553.27, 2.489)",553.27,2.489
mexico,salaries and financing,average monthly net salary (after tax),623.25 €,,623.25,,,
mexico,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",11.44,10.00-13.00,11.44,"(10.0, 13.0)",10.0,13.0
micronesia,rent per month,apartment (1 bedroom) in city centre,888.27 €,"643.23-1,102.68",888.27,"(643.23, 1.102)",643.23,1.102
micronesia,rent per month,apartment (1 bedroom) outside of centre,692.62 €,431.88-918.90,692.62,"(431.88, 918.9)",431.88,918.9
micronesia,rent per month,apartment (3 bedrooms) in city centre,"1,322.07 €","693.77-2,756.70",1.322,"(693.77, 2.756)",693.77,2.756
micronesia,rent per month,apartment (3 bedrooms) outside of centre,"1,068.22 €","735.12-1,791.86",1.068,"(735.12, 1.791)",735.12,1.791
micronesia,buy apartment price,price per square meter to buy apartment in city centre,952.59 €,"698.36-1,378.35",952.59,"(698.36, 1.378)",698.36,1.378
micronesia,buy apartment price,price per square meter to buy apartment outside of centre,704.49 €,551.34-918.90,704.49,"(551.34, 918.9)",551.34,918.9
micronesia,salaries and financing,average monthly net salary (after tax),280.57 €,,280.57,,,
micronesia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate","390,000.00","360,000.00-400,000.00",390.0,"(0.0, 400.0)",0.0,400.0
moldova,rent per month,apartment (1 bedroom) in city centre,521.69 €,350.00-825.11,521.69,"(350.0, 825.11)",350.0,825.11
moldova,rent per month,apartment (1 bedroom) outside of centre,375.06 €,250.00-515.69,375.06,"(250.0, 515.69)",250.0,515.69
moldova,rent per month,apartment (3 bedrooms) in city centre,"1,000.71 €","515.69-2,000.00",1.0,"(515.69, 2.0)",515.69,2.0
moldova,rent per month,apartment (3 bedrooms) outside of centre,662.74 €,"400.00-1,200.00",662.74,"(400.0, 1.2)",400.0,1.2
moldova,buy apartment price,price per square meter to buy apartment in city centre,"1,902.71 €","1,186.09-2,578.46",1.902,"(186.09, 2.578)",186.09,2.578
moldova,buy apartment price,price per square meter to buy apartment outside of centre,"1,411.32 €","1,000.00-1,800.00",1.411,"(0.0, 1.8)",0.0,1.8
moldova,salaries and financing,average monthly net salary (after tax),569.58 €,,569.58,,,
moldova,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",9.46,8.00-15.00,9.46,"(8.0, 15.0)",8.0,15.0
monaco,rent per month,apartment (1 bedroom) in city centre,"6,157.71 €","2,500.00-13,000.00",6.157,"(500.0, 13.0)",500.0,13.0
monaco,rent per month,apartment (1 bedroom) outside of centre,"6,981.00 €","2,000.00-12,500.00",6.981,"(0.0, 12.5)",0.0,12.5
monaco,rent per month,apartment (3 bedrooms) in city centre,"28,166.67 €","10,000.00-60,000.00",28.166,"(0.0, 60.0)",0.0,60.0
monaco,rent per month,apartment (3 bedrooms) outside of centre,"6,400.00 €","3,200.00-10,000.00",6.4,"(200.0, 10.0)",200.0,10.0
monaco,buy apartment price,price per square meter to buy apartment in city centre,"59,465.21 €","24,791.25-90,000.00",59.465,"(791.25, 90.0)",791.25,90.0
monaco,buy apartment price,price per square meter to buy apartment outside of centre,"53,000.00 €","42,000.00-75,000.00",53.0,"(0.0, 75.0)",0.0,75.0
monaco,salaries and financing,average monthly net salary (after tax),"7,491.95 €",,7.491,,,
monaco,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",2.83,2.00-4.00,2.83,"(2.0, 4.0)",2.0,4.0
mongolia,rent per month,apartment (1 bedroom) in city centre,479.85 €,324.51-811.27,479.85,"(324.51, 811.27)",324.51,811.27
mongolia,rent per month,apartment (1 bedroom) outside of centre,363.57 €,216.34-540.85,363.57,"(216.34, 540.85)",216.34,540.85
mongolia,rent per month,apartment (3 bedrooms) in city centre,"1,179.57 €","540.85-1,892.97",1.179,"(540.85, 1.892)",540.85,1.892
mongolia,rent per month,apartment (3 bedrooms) outside of centre,672.20 €,405.64-811.27,672.2,"(405.64, 811.27)",405.64,811.27
mongolia,buy apartment price,price per square meter to buy apartment in city centre,"1,477.19 €","1,068.17-2,406.77",1.477,"(68.17, 2.406)",68.17,2.406
mongolia,buy apartment price,price per square meter to buy apartment outside of centre,884.29 €,"757.19-1,081.70",884.29,"(757.19, 1.081)",757.19,1.081
mongolia,salaries and financing,average monthly net salary (after tax),387.54 €,,387.54,,,
mongolia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.00,5.00-6.00,6.0,"(5.0, 6.0)",5.0,6.0
montenegro,rent per month,apartment (1 bedroom) in city centre,607.54 €,"450.00-1,000.00",607.54,"(450.0, 1.0)",450.0,1.0
montenegro,rent per month,apartment (1 bedroom) outside of centre,462.85 €,350.00-650.00,462.85,"(350.0, 650.0)",350.0,650.0
montenegro,rent per month,apartment (3 bedrooms) in city centre,"1,085.95 €","750.00-1,700.00",1.085,"(750.0, 1.7)",750.0,1.7
montenegro,rent per month,apartment (3 bedrooms) outside of centre,822.24 €,"600.00-1,250.00",822.24,"(600.0, 1.25)",600.0,1.25
montenegro,buy apartment price,price per square meter to buy apartment in city centre,"2,407.14 €","1,800.00-3,200.00",2.407,"(800.0, 3.2)",800.0,3.2
montenegro,buy apartment price,price per square meter to buy apartment outside of centre,"1,854.76 €","1,400.00-2,500.00",1.854,"(400.0, 2.5)",400.0,2.5
montenegro,salaries and financing,average monthly net salary (after tax),821.58 €,,821.58,,,
montenegro,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.74,5.00-7.00,5.74,"(5.0, 7.0)",5.0,7.0
montserrat,rent per month,apartment (3 bedrooms) in city centre,"1,190.04 €","1,190.04-1,190.04",1.19,"(190.04, 1.19)",190.04,1.19
montserrat,rent per month,apartment (3 bedrooms) outside of centre,"1,190.04 €","1,190.04-1,190.04",1.19,"(190.04, 1.19)",190.04,1.19
morocco,rent per month,apartment (1 bedroom) in city centre,320.07 €,170.68-568.92,320.07,"(170.68, 568.92)",170.68,568.92
morocco,rent per month,apartment (1 bedroom) outside of centre,184.24 €,94.82-341.35,184.24,"(94.82, 341.35)",94.82,341.35
morocco,rent per month,apartment (3 bedrooms) in city centre,598.65 €,"331.87-1,137.84",598.65,"(331.87, 1.137)",331.87,1.137
morocco,rent per month,apartment (3 bedrooms) outside of centre,330.24 €,189.64-663.74,330.24,"(189.64, 663.74)",189.64,663.74
morocco,buy apartment price,price per square meter to buy apartment in city centre,"1,313.64 €","853.38-2,370.49",1.313,"(853.38, 2.37)",853.38,2.37
morocco,buy apartment price,price per square meter to buy apartment outside of centre,801.61 €,"474.10-1,374.89",801.61,"(474.1, 1.374)",474.1,1.374
morocco,salaries and financing,average monthly net salary (after tax),383.49 €,,383.49,,,
morocco,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.96,3.00-6.10,4.96,"(3.0, 6.1)",3.0,6.1
mozambique,rent per month,apartment (1 bedroom) in city centre,553.42 €,"431.88-1,102.68",553.42,"(431.88, 1.102)",431.88,1.102
mozambique,rent per month,apartment (1 bedroom) outside of centre,325.35 €,215.94-551.34,325.35,"(215.94, 551.34)",215.94,551.34
mozambique,rent per month,apartment (3 bedrooms) in city centre,985.52 €,"647.82-1,837.80",985.52,"(647.82, 1.837)",647.82,1.837
mozambique,rent per month,apartment (3 bedrooms) outside of centre,586.12 €,503.86-863.76,586.12,"(503.86, 863.76)",503.86,863.76
mozambique,buy apartment price,price per square meter to buy apartment in city centre,"4,132.82 €","2,879.21-6,353.27",4.132,"(879.21, 6.353)",879.21,6.353
mozambique,buy apartment price,price per square meter to buy apartment outside of centre,"1,700.53 €","467.87-3,099.16",1.7,"(467.87, 3.099)",467.87,3.099
mozambique,salaries and financing,average monthly net salary (after tax),334.71 €,,334.71,,,
mozambique,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",24.33,15.00-28.00,24.33,"(15.0, 28.0)",15.0,28.0
myanmar,rent per month,apartment (1 bedroom) in city centre,421.55 €,229.73-918.90,421.55,"(229.73, 918.9)",229.73,918.9
myanmar,rent per month,apartment (1 bedroom) outside of centre,190.34 €,110.27-275.67,190.34,"(110.27, 275.67)",110.27,275.67
myanmar,rent per month,apartment (3 bedrooms) in city centre,920.99 €,"551.34-1,378.35",920.99,"(551.34, 1.378)",551.34,1.378
myanmar,rent per month,apartment (3 bedrooms) outside of centre,734.42 €,"367.56-1,102.68",734.42,"(367.56, 1.102)",367.56,1.102
myanmar,buy apartment price,price per square meter to buy apartment in city centre,"1,344.27 €","735.12-2,536.14",1.344,"(735.12, 2.536)",735.12,2.536
myanmar,buy apartment price,price per square meter to buy apartment outside of centre,332.07 €,"134.58-2,536.14",332.07,"(134.58, 2.536)",134.58,2.536
myanmar,salaries and financing,average monthly net salary (after tax),285.09 €,,285.09,,,
myanmar,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",11.00,5.00-13.00,11.0,"(5.0, 13.0)",5.0,13.0
namibia,rent per month,apartment (1 bedroom) in city centre,367.80 €,252.19-504.37,367.8,"(252.19, 504.37)",252.19,504.37
namibia,rent per month,apartment (1 bedroom) outside of centre,288.51 €,183.78-504.37,288.51,"(183.78, 504.37)",183.78,504.37
namibia,rent per month,apartment (3 bedrooms) in city centre,909.97 €,"605.25-1,260.93",909.97,"(605.25, 1.26)",605.25,1.26
namibia,rent per month,apartment (3 bedrooms) outside of centre,779.98 €,"403.50-1,260.93",779.98,"(403.5, 1.26)",403.5,1.26
namibia,buy apartment price,price per square meter to buy apartment in city centre,616.15 €,"428.72-2,017.49",616.15,"(428.72, 2.017)",428.72,2.017
namibia,buy apartment price,price per square meter to buy apartment outside of centre,448.89 €,"302.62-1,008.75",448.89,"(302.62, 1.008)",302.62,1.008
namibia,salaries and financing,average monthly net salary (after tax),807.65 €,,807.65,,,
namibia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",11.17,8.00-12.25,11.17,"(8.0, 12.25)",8.0,12.25
nauru,rent per month,apartment (1 bedroom) in city centre,"2,034.44 €","1,162.54-3,487.62",2.034,"(162.54, 3.487)",162.54,3.487
nauru,rent per month,apartment (1 bedroom) outside of centre,"1,453.17 €",,1.453,,,
nauru,rent per month,apartment (3 bedrooms) in city centre,"4,185.14 €",,4.185,,,
nauru,rent per month,apartment (3 bedrooms) outside of centre,"3,491.11 €",,3.491,,,
nauru,salaries and financing,average monthly net salary (after tax),523.14 €,,523.14,,,
nauru,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.00,,4.0,,,
nepal,rent per month,apartment (1 bedroom) in city centre,124.08 €,52.79-230.95,124.08,"(52.79, 230.95)",52.79,230.95
nepal,rent per month,apartment (1 bedroom) outside of centre,66.87 €,26.39-112.18,66.87,"(26.39, 112.18)",26.39,112.18
nepal,rent per month,apartment (3 bedrooms) in city centre,225.47 €,131.97-494.89,225.47,"(131.97, 494.89)",131.97,494.89
nepal,rent per month,apartment (3 bedrooms) outside of centre,138.60 €,79.18-263.94,138.6,"(79.18, 263.94)",79.18,263.94
nepal,buy apartment price,price per square meter to buy apartment in city centre,"1,751.75 €","1,065.39-3,299.27",1.751,"(65.39, 3.299)",65.39,3.299
nepal,buy apartment price,price per square meter to buy apartment outside of centre,960.70 €,"674.75-1,278.47",960.7,"(674.75, 1.278)",674.75,1.278
nepal,salaries and financing,average monthly net salary (after tax),200.41 €,,200.41,,,
nepal,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",12.59,8.00-16.00,12.59,"(8.0, 16.0)",8.0,16.0
netherlands,rent per month,apartment (1 bedroom) in city centre,"1,382.34 €","1,000.00-2,005.13",1.382,"(0.0, 2.005)",0.0,2.005
netherlands,rent per month,apartment (1 bedroom) outside of centre,"1,108.53 €","790.00-1,725.00",1.108,"(790.0, 1.725)",790.0,1.725
netherlands,rent per month,apartment (3 bedrooms) in city centre,"2,201.57 €","1,456.67-3,665.52",2.201,"(456.67, 3.665)",456.67,3.665
netherlands,rent per month,apartment (3 bedrooms) outside of centre,"1,753.98 €","1,173.44-2,598.33",1.753,"(173.44, 2.598)",173.44,2.598
netherlands,buy apartment price,price per square meter to buy apartment in city centre,"5,563.01 €","3,910.00-9,505.52",5.563,"(910.0, 9.505)",910.0,9.505
netherlands,buy apartment price,price per square meter to buy apartment outside of centre,"4,356.37 €","3,000.00-7,000.00",4.356,"(0.0, 7.0)",0.0,7.0
netherlands,salaries and financing,average monthly net salary (after tax),"3,263.37 €",,3.263,,,
netherlands,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.29,2.49-4.60,4.29,"(2.49, 4.6)",2.49,4.6
new caledonia,rent per month,apartment (1 bedroom) in city centre,662.02 €,544.70-838.00,662.02,"(544.7, 838.0)",544.7,838.0
new caledonia,rent per month,apartment (1 bedroom) outside of centre,680.87 €,586.60-754.20,680.87,"(586.6, 754.2)",586.6,754.2
new caledonia,rent per month,apartment (3 bedrooms) in city centre,"1,374.32 €","1,173.20-1,843.60",1.374,"(173.2, 1.843)",173.2,1.843
new caledonia,rent per month,apartment (3 bedrooms) outside of centre,"1,152.25 €","921.80-1,257.00",1.152,"(921.8, 1.257)",921.8,1.257
new caledonia,buy apartment price,price per square meter to buy apartment in city centre,"4,252.85 €","3,771.00-5,028.00",4.252,"(771.0, 5.028)",771.0,5.028
new caledonia,buy apartment price,price per square meter to buy apartment outside of centre,"3,739.57 €","2,933.00-5,447.00",3.739,"(933.0, 5.447)",933.0,5.447
new caledonia,salaries and financing,average monthly net salary (after tax),"2,419.72 €",,2.419,,,
new caledonia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",2.50,2.00-3.00,2.5,"(2.0, 3.0)",2.0,3.0
new zealand,rent per month,apartment (1 bedroom) in city centre,961.03 €,"582.10-1,375.87",961.03,"(582.1, 1.375)",582.1,1.375
new zealand,rent per month,apartment (1 bedroom) outside of centre,810.23 €,"423.34-1,217.12",810.23,"(423.34, 1.217)",423.34,1.217
